# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCG2	ABCG2	NM_001348986		0	1	1	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ABCG2	ABCG2	NM_001348987		0	1	1	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ABCG2	ABCG2	NM_001348988		0	1	1	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ABCG2	ABCG2	NM_001348989		0	1	1	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ABCG2	ABCG2	NM_004827		0	1	1	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ABHD12	ABHD12	NM_001042472		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	ABHD12	NM_015600		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABI1	ABI1	NM_001012750		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001012751		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001012752		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001178116		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001178119		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001178120		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001178121		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001178122		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001178123		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001178124		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001178125		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001348029		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001348030		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001348031		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001348032		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001348033		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_001348034		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NM_005470		0	1	1	4	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0
ABI1	ABI1	NR_145410		0	1	0	5	0	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349329		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349330		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349331		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_001349332		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	ABI3BP	NM_015429		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	ABL1	NM_005157		0	0	2	2	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL1	ABL1	NM_007313		0	0	2	2	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001136000		0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001136001		0	0	0	4	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168236		0	1	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ABL2	ABL2	NM_001168237		0	0	0	4	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168238		0	0	0	4	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_001168239		0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
ABL2	ABL2	NM_005158		0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
ABL2	ABL2	NM_007314		0	1	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ACADVL	ACADVL	NM_000018		0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	ACADVL	NM_001033859		0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	ACADVL	NM_001270447		0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	ACADVL	NM_001270448		0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ACE	ACE	NM_000789		1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
ACE	ACE	NM_001178057		0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
ACE	ACE	NM_152830		0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
ACP2	ACP2	NM_001302489		0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	ACP2	NM_001302490		0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	ACP2	NM_001302491		0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	ACP2	NM_001302492		0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	ACP2	NM_001357016		0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	ACP2	NM_001610		0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001009185		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001205247		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001205248		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001205250		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001205251		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_015256		0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ACTA2	ACTA2	NM_001141945		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	ACTA2	NM_001320855		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	ACTC1	NM_005159		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACTG1	ACTG1	NM_001199954		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ACTG1	ACTG1	NM_001614		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ACTG1	ACTG1	NR_037688		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACTN4	ACTN4	NM_001322033		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTN4	ACTN4	NM_004924		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTR1A	ACTR1A	NM_005736		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACVR1	ACVR1	NM_001105		0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
ACVR1	ACVR1	NM_001111067		0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
ACVR1	ACVR1	NM_001347663		0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
ACVR1	ACVR1	NM_001347664		0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
ACVR1	ACVR1	NM_001347665		0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
ACVR1	ACVR1	NM_001347666		0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
ACVR1	ACVR1	NM_001347667		0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
ACVR1B	ACVR1B	NM_004302		1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ACVR1B	ACVR1B	NM_020327		0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ACVR1B	ACVR1B	NM_020328		1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ACVR2A	ACVR2A	NM_001278579		2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ACVR2A	ACVR2A	NM_001278580		2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
ACVR2A	ACVR2A	NM_001616		2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ACVR2B	ACVR2B	NM_001106		0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
ADAM17	ADAM17	NM_003183		0	2	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0
ADAM33	ADAM33	NM_001282447		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM33	ADAM33	NM_025220		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM33	ADAM33	NM_153202		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	ADAM6	NR_002224		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS20	ADAMTS20	NM_025003		0	0	1	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
ADAMTSL4-AS1	ADAMTSL4-AS1	NR_104133		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ADCY4	ADCY4	NM_001198568		0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ADCY4	ADCY4	NM_001198592		0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ADCY4	ADCY4	NM_139247		0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ADGRA2	ADGRA2	NM_032777		0	2	1	4	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	1	0
ADGRB3	ADGRB3	NM_001704		1	3	2	5	0	0	0	0	0	0	0	0	0	7	2	0	1	0	1	0	0	0	2	0
ADGRL2	ADGRL2	NM_001297704		0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRL2	ADGRL2	NM_001297705		0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRL2	ADGRL2	NM_001297706		0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRL2	ADGRL2	NM_001330645		0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRL2	ADGRL2	NM_001350698		0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRL2	ADGRL2	NM_001350699		0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRL2	ADGRL2	NM_012302		0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRL3	ADGRL3	NM_001322246		0	5	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	4	0
ADGRL3	ADGRL3	NM_001322402		0	5	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	4	0
ADGRL3	ADGRL3	NM_015236		0	5	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	4	0
ADRB1	ADRB1	NM_000684		0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ADRB2	ADRB2	NM_000024		0	4	1	6	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	4	2
AFF1	AFF1	NM_001166693		0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0
AFF1	AFF1	NM_001313959		0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0
AFF1	AFF1	NM_001313960		0	2	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0
AFF1	AFF1	NM_005935		0	3	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0
AFF2	AFF2	NM_001169122		1	2	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0
AFF2	AFF2	NM_001169123		1	2	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0
AFF2	AFF2	NM_001169124		1	2	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0
AFF2	AFF2	NM_001169125		1	2	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0
AFF2	AFF2	NM_001170628		1	2	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0
AFF2	AFF2	NM_002025		1	2	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0
AFF3	AFF3	NM_001025108		0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
AFF3	AFF3	NM_002285		0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
AGER	AGER	NM_001136		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NM_001206929		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NM_001206932		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NM_001206934		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NM_001206936		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NM_001206940		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NM_001206954		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NM_001206966		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NM_172197		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AGER	AGER	NR_038190		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AHR	AHR	NM_001621		0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
AHSA1	AHSA1	NM_001321441		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AHSA1	AHSA1	NM_012111		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AIFM3	AIFM3	NM_001018060		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_001146288		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_144704		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NR_027464		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AIP	AIP	NM_001302959		0	0	2	3	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
AIP	AIP	NM_001302960		0	0	1	4	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
AIP	AIP	NM_003977		0	0	2	3	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0
AIRN	AIRN	NR_047511		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AIRN	AIRN	NR_047514		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AKAP9	AKAP9	NM_005751		1	7	5	1	0	0	0	0	0	0	1	0	1	2	4	0	0	0	1	0	0	0	6	0
AKAP9	AKAP9	NM_147185		1	7	5	1	0	0	0	0	0	0	1	0	1	2	4	0	0	0	1	0	0	0	6	0
AKT1	AKT1	NM_001014431		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKT1	AKT1	NM_001014432		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKT1	AKT1	NM_005163		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKT3	AKT3	NM_001206729		1	0	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
AKT3	AKT3	NM_005465		1	0	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
AKT3	AKT3	NM_181690		1	0	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0
ALAD	ALAD	NM_000031		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALAD	ALAD	NM_001003945		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALAD	ALAD	NM_001317745		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALAS1	ALAS1	NM_000688		0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ALAS1	ALAS1	NM_001304443		0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ALAS1	ALAS1	NM_001304444		0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ALAS1	ALAS1	NM_199166		0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ALK	ALK	NM_001353765		0	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0
ALK	ALK	NM_004304		0	5	1	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	4	0
ALKBH7	ALKBH7	NM_032306		0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
ALOX12-AS1	ALOX12-AS1	NR_040089		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ALOX12B	ALOX12B	NM_001139		0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ALOX5	ALOX5	NM_000698		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALOX5	ALOX5	NM_001256153		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALOX5	ALOX5	NM_001256154		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALOX5	ALOX5	NM_001320861		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALOX5	ALOX5	NM_001320862		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALS2CR12	ALS2CR12	NM_001127391		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALS2CR12	ALS2CR12	NM_001289993		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALS2CR12	ALS2CR12	NM_139163		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALS2CR12	ALS2CR12	NR_110620		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AMD1	AMD1	NM_001287215		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AMER1	AMER1	NM_152424		0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ANGPTL7	ANGPTL7	NM_021146		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ANXA11	ANXA11	NM_001157		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANXA11	ANXA11	NM_001278407		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANXA11	ANXA11	NM_001278408		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANXA11	ANXA11	NM_001278409		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANXA11	ANXA11	NM_145868		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
